sim0,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9
46.3862,60.7031,51.0499,56.5614,57.4928,43.7269,46.8954,48.9052,59.673,42.2691
46.7148,61.1146,49.8519,57.021,59.002,44.0118,48.3414,47.6713,60.3103,42.5893
46.3839,60.8012,50.5764,58.1881,58.9894,44.8776,49.1624,48.7672,60.4847,42.1555
46.5542,61.1254,50.3487,58.5552,58.8901,44.8926,49.5467,49.1699,60.5788,40.8562
46.579,62.2317,50.4458,57.2229,59.0074,44.9266,49.5446,48.8294,61.0445,40.1184
46.2751,62.6064,49.5197,57.2296,58.3831,45.7983,49.5874,48.9436,60.4196,39.6152
45.6192,62.4632,49.9839,56.8252,57.8622,45.1431,50.2558,48.718,61.8568,39.429
46.9035,63.2178,50.0737,55.9908,57.8857,45.4688,50.2118,48.1084,61.9933,40.4304
46.4579,63.2591,49.9251,54.6768,58.098,45.6178,50.0687,48.6092,63.1159,41.137
46.6059,64.3318,50.2362,54.0945,57.547,45.7512,50.5299,48.805,63.0054,40.3661
46.5205,64.5072,50.9014,53.8554,58.7152,47.0717,49.7734,48.7941,61.8571,40.2497
46.521,64.8416,51.8011,54.683,59.0601,46.3023,49.6283,47.6549,62.1321,40.0474
45.6378,64.4498,52.753,54.4183,58.9892,47.0174,50.886,48.3596,62.8057,39.7512
45.1451,65.0187,53.288,53.6386,59.1625,46.5001,50.6009,49.1707,62.6786,39.6112
44.4239,65.509,53.0625,54.131,59.0083,46.7278,50.1439,49.3189,63.651,39.4481
